"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14","Should throw exception when comment not found","","Mon Jul 21 22:37:08 GMT 2025","passed","Mon Jul 21 22:37:08 GMT 2025","","FeedbackCommentService Tests","com.talentradar.assessment_service.service.FeedbackCommentServiceImplTest","createFeedbackComment_ShouldThrowException_WhenCommentNotExists"
"","4","Should throw exception when updating non-existent comment","","Mon Jul 21 22:37:08 GMT 2025","passed","Mon Jul 21 22:37:08 GMT 2025","","CommentService Tests","com.talentradar.assessment_service.service.CommentServiceImplTest","updateComment_ShouldThrowException_WhenIdNotExists"
"","6","Should not update when criteria name is null","","Mon Jul 21 22:37:08 GMT 2025","passed","Mon Jul 21 22:37:08 GMT 2025","","GradingCriteriaService Tests","com.talentradar.assessment_service.service.GradingCriteriaServiceImplTest","updateGradingCriteria_ShouldNotUpdate_WhenCriteriaNameIsNull"
"","4","Should throw exception when updating non-existent grading criteria","","Mon Jul 21 22:37:08 GMT 2025","passed","Mon Jul 21 22:37:08 GMT 2025","","GradingCriteriaService Tests","com.talentradar.assessment_service.service.GradingCriteriaServiceImplTest","updateGradingCriteria_ShouldThrowException_WhenIdNotExists"
"","5","Should get feedback by manager ID successfully","","Mon Jul 21 22:37:08 GMT 2025","passed","Mon Jul 21 22:37:08 GMT 2025","","FeedbackService Tests","com.talentradar.assessment_service.service.FeedbackServiceImplTest","getFeedbackByManagerId_ShouldReturnFeedbackList_WhenManagerExists"
"","3","Should return true when dimension exists","","Mon Jul 21 22:37:08 GMT 2025","passed","Mon Jul 21 22:37:08 GMT 2025","","DimensionDefinitionService Tests","com.talentradar.assessment_service.service.DimensionDefinitionServiceImplTest","dimensionExists_ShouldReturnTrue_WhenIdExists"
"","3","Should delete comment successfully when comment exists","","Mon Jul 21 22:37:08 GMT 2025","passed","Mon Jul 21 22:37:08 GMT 2025","","CommentService Tests","com.talentradar.assessment_service.service.CommentServiceImplTest","deleteComment_ShouldDeleteComment_WhenIdExists"
"","3","Should return false when comment does not exist","","Mon Jul 21 22:37:08 GMT 2025","passed","Mon Jul 21 22:37:08 GMT 2025","","CommentService Tests","com.talentradar.assessment_service.service.CommentServiceImplTest","commentExists_ShouldReturnFalse_WhenIdNotExists"
"","8","Should create new feedback version with incremented version","","Mon Jul 21 22:37:08 GMT 2025","passed","Mon Jul 21 22:37:08 GMT 2025","","FeedbackService Tests","com.talentradar.assessment_service.service.FeedbackServiceImplTest","createNewFeedbackVersion_ShouldIncrementVersion_WhenPreviousVersionExists"
"","6","Should throw exception when feedback not found by ID","","Mon Jul 21 22:37:08 GMT 2025","passed","Mon Jul 21 22:37:08 GMT 2025","","FeedbackService Tests","com.talentradar.assessment_service.service.FeedbackServiceImplTest","getFeedbackById_ShouldThrowException_WhenIdNotExists"
"","4","Should return empty list when no comments found by IDs","","Mon Jul 21 22:37:08 GMT 2025","passed","Mon Jul 21 22:37:08 GMT 2025","","CommentService Tests","com.talentradar.assessment_service.service.CommentServiceImplTest","getCommentsByIds_ShouldReturnEmptyList_WhenNoIdsMatch"
"","4","Should throw exception when grading criteria not found by ID","","Mon Jul 21 22:37:08 GMT 2025","passed","Mon Jul 21 22:37:08 GMT 2025","","GradingCriteriaService Tests","com.talentradar.assessment_service.service.GradingCriteriaServiceImplTest","getGradingCriteriaById_ShouldThrowException_WhenIdNotExists"
"","5","Should return all comments successfully","","Mon Jul 21 22:37:08 GMT 2025","passed","Mon Jul 21 22:37:08 GMT 2025","","CommentService Tests","com.talentradar.assessment_service.service.CommentServiceImplTest","getAllComments_ShouldReturnAllComments"
"","2416","Should create feedback comment successfully","","Mon Jul 21 22:37:05 GMT 2025","passed","Mon Jul 21 22:37:07 GMT 2025","","FeedbackCommentService Tests","com.talentradar.assessment_service.service.FeedbackCommentServiceImplTest","createFeedbackComment_ShouldCreateFeedbackComment_WhenValidDto"
"","6","Should update only provided fields","","Mon Jul 21 22:37:08 GMT 2025","passed","Mon Jul 21 22:37:08 GMT 2025","","DimensionDefinitionService Tests","com.talentradar.assessment_service.service.DimensionDefinitionServiceImplTest","updateDimension_ShouldUpdateOnlyProvidedFields"
"","4","Should handle empty ID list gracefully","","Mon Jul 21 22:37:08 GMT 2025","passed","Mon Jul 21 22:37:08 GMT 2025","","CommentService Tests","com.talentradar.assessment_service.service.CommentServiceImplTest","getCommentsByIds_ShouldReturnEmptyList_WhenEmptyIdList"
"","18","Should return empty list when no feedback comments exist","","Mon Jul 21 22:37:08 GMT 2025","passed","Mon Jul 21 22:37:08 GMT 2025","","FeedbackCommentService Tests","com.talentradar.assessment_service.service.FeedbackCommentServiceImplTest","getFeedbackCommentsByFeedbackId_ShouldReturnEmptyList_WhenNoCommentsExist"
"","3","Should return empty list when no comments exist","","Mon Jul 21 22:37:08 GMT 2025","passed","Mon Jul 21 22:37:08 GMT 2025","","CommentService Tests","com.talentradar.assessment_service.service.CommentServiceImplTest","getAllComments_ShouldReturnEmptyList_WhenNoCommentsExist"
"","115","Should update grading criteria successfully when grading criteria exists","","Mon Jul 21 22:37:08 GMT 2025","passed","Mon Jul 21 22:37:08 GMT 2025","","GradingCriteriaService Tests","com.talentradar.assessment_service.service.GradingCriteriaServiceImplTest","updateGradingCriteria_ShouldUpdateGradingCriteria_WhenIdExists"
"","3","Should return true when grading criteria exists","","Mon Jul 21 22:37:08 GMT 2025","passed","Mon Jul 21 22:37:08 GMT 2025","","GradingCriteriaService Tests","com.talentradar.assessment_service.service.GradingCriteriaServiceImplTest","gradingCriteriaExists_ShouldReturnTrue_WhenIdExists"
"","4","Should throw exception when deleting non-existent comment","","Mon Jul 21 22:37:08 GMT 2025","passed","Mon Jul 21 22:37:08 GMT 2025","","CommentService Tests","com.talentradar.assessment_service.service.CommentServiceImplTest","deleteComment_ShouldThrowException_WhenIdNotExists"
